societe,page,table_num,col,"1er
Trimestre
2026","1er
Trimestre
2025","Du
01/01/2026
au
31/03/2026","Du
01/01/2025
au
31/03/2025","Du
01/01/2025
au
31/12/2025
(*)"
MAGHREBIA,1,1,"1- Primes émises et
acceptées nettes
d'annulations en
cours",36 915,33 499,36 915,33 499,145 033
MAGHREBIA,1,1,Prévoyance,9 497,8 065,9 497,8 065,36 482
MAGHREBIA,1,1,Epargne,27 418,25 434,27 418,25 434,108 551
MAGHREBIA,1,1,,,,,,
MAGHREBIA,1,1,2- Primes cédées,3 342,2 405,3 342,2 405,13 040
MAGHREBIA,1,1,,,,,,
MAGHREBIA,1,1,3-Commissions,3 192,2 628,3 192,2 628,13 248
MAGHREBIA,1,1,,,,,,
MAGHREBIA,1,1,"4- Charges de
sinistres nettes",20 675,14 083,20 675,14 083,66 191
MAGHREBIA,1,1,,,,,,
MAGHREBIA,1,1,"5- Produits financiers
nets",13 630,12 511,13 630,12 511,58 401
